content_required,checklist_completed,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,quiz_attempts_per_quiz,Classifier
30,0,0,1,12314,F,course_272,M,domestic,22,14,7.0,0.16666666666666666,21.357142857142858,576.5752508361204,2462.8,1.0,KNN
18,0,0,2,7385,F,course_5,F,domestic,25,12,6.0,0.2777777777777778,20.0,369.25,1477.0,0.0,LogisticRegression
59,0,0,3,1329,F,course_92,M,domestic,19,10,6.0,0.288135593220339,29.9,44.44816053511706,78.17647058823529,0.0,LogisticRegression
83,0,0,2,3679,F,course_66,M,international,25,22,8.0,0.5421686746987951,78.95454545454545,46.596430627518714,81.75555555555556,1.0,LogisticRegression
71,0,0,7,18169,F,course_233,M,international,23,13,6.0,0.676056338028169,138.0,131.65942028985506,378.5208333333333,0.0,LogisticRegression
9,0,0,0,80,F,course_133,M,domestic,19,10,7.0,0.8888888888888888,20.6,3.8834951456310676,10.0,1.0,LogisticRegression
96,0,0,0,52328,F,course_8,M,domestic,22,10,6.0,0.8020833333333334,46.5,1125.3333333333333,679.5844155844156,0.0,LogisticRegression
59,0,0,2,3351,F,course_92,M,domestic,19,10,6.0,0.3389830508474576,40.8,82.13235294117648,167.55,0.0,LogisticRegression
56,0,0,14,4632,W,course_3,F,domestic,40,9,5.0,0.8214285714285714,273.1111111111111,16.96013018714402,100.69565217391305,2.0,LogisticRegression
15,0,0,6,0,F,course_276,M,domestic,20,13,7.0,0.0,17.307692307692307,0.0,0.0,1.0,LogisticRegression
71,0,0,3,853,F,course_1,M,domestic,22,12,6.0,0.07042253521126761,78.66666666666667,10.84322033898305,170.6,1.1428571428571428,LogisticRegression
87,0,0,7,29156,F,course_5,M,international,19,6,6.0,0.6896551724137931,56.666666666666664,514.5176470588235,485.93333333333334,0.0,LogisticRegression
66,0,0,0,3864,F,course_134,M,domestic,22,7,7.0,0.2878787878787879,44.142857142857146,87.53398058252426,203.3684210526316,0.0,LogisticRegression
65,0,0,8,12092,F,course_64,M,international,28,22,8.0,0.6615384615384615,49.5,244.2828282828283,281.2093023255814,1.0,LogisticRegression
95,0,0,1,4519,F,course_36,M,domestic,22,7,7.0,0.18947368421052632,136.71428571428572,33.05433646812957,251.05555555555554,1.5,LogisticRegression
45,0,1,7,2816,F,course_7,M,domestic,19,10,7.0,0.35555555555555557,20.6,136.6990291262136,176.0,1.25,LogisticRegression
22,0,0,0,5,F,course_275,M,domestic,20,13,7.0,0.045454545454545456,17.307692307692307,0.2888888888888889,5.0,0.0,LogisticRegression
71,0,0,13,10850,F,course_1,F,international,21,13,6.0,0.30985915492957744,105.46153846153847,102.88110867979576,493.1818181818182,1.6666666666666667,LogisticRegression
163,0,0,0,7108,F,course_8,M,domestic,21,5,5.0,0.0736196319018405,123.2,57.69480519480519,592.3333333333334,0.0,LogisticRegression
52,0,0,0,4235,F,course_137,M,domestic,19,10,7.0,0.8076923076923077,20.6,205.58252427184465,100.83333333333333,0.0,LogisticRegression
41,0,0,1,234,F,course_31,M,domestic,22,7,7.0,0.17073170731707318,136.71428571428572,1.7115987460815045,33.42857142857143,0.0,LogisticRegression
27,0,0,0,2640,F,course_52,M,domestic,19,10,6.0,0.5185185185185185,40.8,64.70588235294117,188.57142857142858,0.0,LogisticRegression
88,0,0,0,1310,F,course_154,M,domestic,20,10,5.0,0.22727272727272727,17.8,73.59550561797752,65.5,1.0,LogisticRegression
8,0,0,0,0,W,course_124,F,domestic,43,13,6.0,0.0,15.23076923076923,0.0,0.0,0.0,LogisticRegression
59,0,0,3,5982,F,course_92,M,domestic,22,7,7.0,0.3220338983050847,44.142857142857146,135.51456310679612,314.8421052631579,0.0,LogisticRegression
71,0,0,15,5030,F,course_1,F,international,20,13,6.0,0.5633802816901409,116.6923076923077,43.10481212920237,125.75,1.5,LogisticRegression
39,0,0,5,4991,F,course_92,M,domestic,21,9,6.0,0.717948717948718,86.55555555555556,57.662387676508345,178.25,1.0,LogisticRegression
