content_completed,content_required,checklist_completed,quiz_completed,total_quiz_attempts,discussion_post_created,discussion_post_replies,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,number_of_logins_to_the_system,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,at_risk
134,233,0,13,19,0,0,0,7,135108,1102,F,course_85,F,international,20,13,7.0,0.575107296137339,84.76923076923077,1593.8330308529944,1008.2686567164179,0
134,149,0,0,0,4,6,21,3,2526,1094,F,course_195,M,international,27,8,7.0,0.8993288590604027,136.75,18.47166361974406,18.850746268656717,0
134,174,0,0,0,0,0,0,0,16964,3306,F,course_9,F,domestic,31,9,4.0,0.7701149425287356,367.3333333333333,46.18148820326679,126.59701492537313,1
132,149,0,0,0,3,6,30,3,12014,915,F,course_195,M,international,25,8,7.0,0.8859060402684564,114.375,105.04043715846994,91.01515151515152,0
124,137,0,0,0,0,0,0,0,36883,695,F,course_193,F,domestic,24,11,6.0,0.9051094890510949,63.18181818181818,583.7597122302159,297.44354838709677,0
123,233,0,8,13,0,0,0,2,53494,459,F,course_85,M,domestic,51,10,5.0,0.5278969957081545,45.9,1165.4466230936819,434.9105691056911,0
120,137,0,0,0,0,0,0,0,7716,570,F,course_193,M,domestic,19,12,6.0,0.8759124087591241,47.5,162.44210526315788,64.3,0
119,124,0,0,0,0,0,2,14,37776,817,F,course_325,M,international,43,11,6.0,0.9596774193548387,74.27272727272727,508.61199510403924,317.4453781512605,0
118,124,0,0,0,0,0,0,13,18770,635,F,course_325,M,international,26,11,6.0,0.9516129032258065,57.72727272727273,325.1496062992126,159.0677966101695,0
117,122,0,6,6,0,0,0,0,337,1413,F,course_317,M,international,25,7,6.0,0.9590163934426229,201.85714285714286,1.6694975230007076,2.8803418803418803,0
116,124,0,13,15,0,0,0,9,33961,642,F,course_170,M,domestic,48,14,6.0,0.9354838709677419,45.857142857142854,740.582554517134,292.76724137931035,0
115,124,0,0,0,0,0,0,15,15178,1205,F,course_325,F,international,29,13,7.0,0.9274193548387096,92.6923076923077,163.7460580912863,131.98260869565217,0
113,163,0,0,0,0,0,0,0,39024,809,F,course_8,M,domestic,28,12,6.0,0.6932515337423313,67.41666666666667,578.8479604449938,345.34513274336285,0
113,174,0,0,0,0,0,0,0,26796,2115,F,course_9,F,international,22,10,5.0,0.6494252873563219,211.5,126.69503546099291,237.13274336283186,0
